Type,Service Request No,Created Date,Created Year,Created Month,Block Address,Description
Injured Animal,13-01373660,"Sep 18, 2013",2013,9,13100 S DANIEL DR,Alley - RACCOON INSIDE METAL DUMPSTER / PARKING LOT
Injured Animal,13-01377822,"Sep 18, 2013",2013,9,13100 S DANIEL DR,"Vacant lot/Parking lot - 2ND PARKING LOT - IN FRONT OF BLDG 6, INSIDE A BLUE DUMPSTER - RACCOON - LEG INJURY, CANNOT GET OUT - "
Injured Animal,13-01390094,"Sep 19, 2013",2013,9,1200 W ARGYLE ST,Sidewalk - raccoon - sickly and walking in circles in area - in and out of yard
Injured Animal,13-01390108,"Sep 19, 2013",2013,9,1200 W ARGYLE ST,between magnolia and glenwood -- - Sidewalk - raccoon - might have been hit by car - injured/sickly - stumbling around - in and out of yard
Injured Animal,13-01396481,"Sep 20, 2013",2013,9,1700 W 56TH ST,apt. 2 - Other - raccoon - raccoon stuck inside a box on the 2nd floor back porch
Injured Animal,13-01398583,"Sep 20, 2013",2013,9,4400 N CLIFTON AVE,Other - raccoon - broken leg - hopping/wabbling along a brick wall around the cemetary - can not get off wall because of leg - north side of cemetary - going back and forth on wall / could be anywhere between clifton and clark alon montrose
Injured Animal,13-01399066,"Sep 21, 2013",2013,9,3200 W 112TH PL,Street - RAC - RACCOON - HIT BY CAR STILL ALIVE
Injured Animal,13-01399708,"Sep 21, 2013",2013,9,6100 N HAMILTON AVE,RACCOON - ITS FRONT PAW IS INJURED - ITS ON THE THIRD FLOOR BALCONY - Other
Injured Animal,13-01400403,"Sep 21, 2013",2013,9,3800 W WASHINGTON BLVD,"Back yard - 2 pitbulls - bleeding and scratches in face, got into with a raccoon"
Injured Animal,13-01400659,"Sep 21, 2013",2013,9,600 E 92ND ST,Alley - raccoon - caller states sick/injured baby raccoon trapped in can - been there 2 days
Injured Animal,13-01404223,"Sep 23, 2013",2013,9,13100 S AVENUE M ,Other - RACCOON - INFECTED EYES GOING IN CIRCLES
Injured Animal,13-01407255,"Sep 23, 2013",2013,9,3800 W WASHINGTON BLVD,Back yard - two dogs - got into fight with raccoon and is scrached up very badly - two dogs; pitbulls
Injured Animal,13-01411099,"Sep 23, 2013",2013,9,9700 S AVENUE J ,raccoon - just fell out of a tree - Parkway
Injured Animal,13-01411314,"Sep 23, 2013",2013,9,6300 N CALDWELL AVE,1 block to 2 blocks east of Central - Street - racconn - hit by a vehicle - raccoon
Injured Animal,13-01411942,"Sep 24, 2013",2013,9,5100 W FOSTER AVE,Street - raccoon - hit by car cannot move
Injured Animal,13-01412222,"Sep 24, 2013",2013,9,700 W 116TH PL,Parkway - raccoon - broken leg
Injured Animal,13-01413661,"Sep 24, 2013",2013,9,3600 E 98TH ST,RACCOON - NOT MOVING
Injured Animal,13-01414054,"Sep 24, 2013",2013,9,9800 S AVENUE J ,Parkway - RACCOON - HIT BY CAR
Injured Animal,13-01415978,"Sep 24, 2013",2013,9,13300 S AVENUE M ,RACCOON - SHAKING-BROKEN LEG AT PKWY TREE-UP ABOUT 3FT-CANNOT MOVE - Parkway
Injured Animal,13-01428486,"Sep 26, 2013",2013,9,1400 W 115TH ST,Street - RACCOON - HIT BY A CAR - NORTH SIDE OF STREET
Injured Animal,13-01434111,"Sep 26, 2013",2013,9,7300 N HONORE ST,Back yard - RACCOON - UNKNOWN -SICK
Injured Animal,13-01441558,"Sep 27, 2013",2013,9,8000 S YALE AVE,Back yard/underneath the stairs - raccoon - barely moving - 
Injured Animal,13-01442843,"Sep 28, 2013",2013,9,5100 S WABASH AVE,3rd cart raccoon - Alley - raccoon - in the garbage cart
Injured Animal,13-01444711,"Sep 29, 2013",2013,9,13300 S AVENUE L ,"Street - raccoon - curled up by the curb, but alive"
Injured Animal,13-01444769,"Sep 29, 2013",2013,9,8300 S ANTHONY AVE,raccoon - Back yard on the backporch in the corner 2nd flr - shaking in the corner - shaking in the corner/can't move - 
Injured Animal,13-01444978,"Sep 29, 2013",2013,9,13300 S AVENUE L ,raccoon - rabid - Street
Injured Animal,13-01445005,"Sep 29, 2013",2013,9,13300 S AVENUE L ,Street - raccoon - laying in the street
